Rank,Stadium,Seating Capacity,Region,Country,City,Images,Home Team
35,Beijing National Stadium,"80,000",East Asia,China,Beijing,https://en.wikipedia.org/wiki/File:Bosnia_players_at_Maracan%C3%A3_15_June_2014.jpg,"CR Flamengo,Fluminense FC,Botafogo FR,CR Vasco da Gama"
36,Stade Léopold Sédar Senghor,"80,000",Africa,Senegal,Dakar,https://en.wikipedia.org/wiki/File:USC_vs_University_of_Oregon_November_2019.png,USC Trojans
37,Maracanã,"78,838",South America,Brazil,"Rio de Janeiro, Rio de Janeiro",https://en.wikipedia.org/wiki/File:Azadi_Stadium_(7).jpg,"Iran national football team,Esteghlal FC,Persepolis FC"
38,Los Angeles Memorial Coliseum,"78,467",North America,United States,"Los Angeles, California",https://en.wikipedia.org/wiki/File:Gbk_persija_arema_20190803.jpg,"Indonesia national football team,"
39,Azadi Stadium,"78,116",West Asia,Iran,Tehran,https://en.wikipedia.org/wiki/File:The_Dome_New_Orleans_Man_Trip.jpg,"New Orleans Saints,Sugar Bowl"
40,Stadion Utama Gelora Bung Karno,"77,193",Southeast Asia,Indonesia,Jakarta,https://en.wikipedia.org/wiki/File:25_July_2010_Kansas_City_Wizards_vs_Manchester_United_friendly.jpg,Kansas City Chiefs
41,Caesar's Superdome,"76,468",North America,United States,"New Orleans, Louisiana",https://en.wikipedia.org/wiki/File:SAF_at_Mile_High_AFC_Championship_game_pom-poms.jpg,Denver Broncos
42,Arrowhead Stadium,"76,412",North America,United States,"Kansas City, Missouri",https://en.wikipedia.org/wiki/File:Istanbul_Atat%C3%BCrk_Olympic_Stadium_2.jpg,
43,Empower Field,"76,125",North America,United States,Denver,https://en.wikipedia.org/wiki/File:Manchester_United_old_trafford_Ank_Kumar_01.jpg,Manchester United
44,Atatürk Olimpiyat Stadyumu,"76,092",Europe,Turkey,Istanbul,https://en.wikipedia.org/wiki/File:Allainz_Arena_(Bayern_Munich).jpg,FC Bayern Munich
45,Old Trafford,"76,000",Europe,England,"Manchester,North West England",https://en.wikipedia.org/wiki/File:Naghsh_Jahan_Stadium.jpg,Sepahan FC
46,Allianz Arena,"75,024",Europe,Germany,Munich,https://en.wikipedia.org/wiki/File:Bank_of_America_Stadium_soccer.jpg,"Charlotte FC,Carolina Panthers"
47,Naghsh-e-Jahan Stadium,"75,000",West Asia,Iran,Isfahan,https://en.wikipedia.org/wiki/File:Millennium_Stadium_-_Glanmor%E2%80%99s_Gap.jpg,Wales national rugby union team
48,Bank of America Stadium,"74,867",North America,United States,"Charlotte, North Carolina",https://en.wikipedia.org/wiki/File:Berlin_Olympiastadion_nach_Umbau.jpg,Hertha BSC
49,Principality Stadium,"74,500",Europe,Wales,Cardiff,https://en.wikipedia.org/wiki/File:Cairo_Stadium_Afcon_u23_2019.jpg,"Egypt national football team,Al Ahly,Zamalek"
50,Olympiastadion,"74,475",Europe,Germany,Berlin,https://en.wikipedia.org/wiki/File:FirstEnergy_Stadium_panorama_2016.jpg,Cleveland Browns
51,Cairo International Stadium,"74,100",Africa,Egypt,Cairo,https://en.wikipedia.org/wiki/File:Est%C3%A1dio_Nacional_Bras%C3%ADlia.jpg,"Brasília FC,Legião FC"
