Rank,Stadium,Seating Capacity,Region,Country,City,Images,Home Team
155,Etihad Stadium,"55,097",Europe,England,"Manchester, North West England",https://en.wikipedia.org/wiki/File:The_Main_Stadium_for_2009_World_Games_panorama.jpg,Chinese Taipei national football team
156,Mestalla,"55,000",Europe,Spain,Valencia,https://en.wikipedia.org/wiki/File:Helong_Stadium.jpg,
157,National Stadium,"55,000",Southeast Asia,Singapore,Singapore,https://en.wikipedia.org/wiki/File:Cape_Town_Stadium_Inside.jpg,"Cape Town City FC,DHL Western Cape Stormers"
158,National Stadium,"55,000",East Asia,Taiwan,Kaohsiung,https://en.wikipedia.org/wiki/File:Plovdiv_Stadium.JPG,
159,He Long Stadium,"55,000",East Asia,China,"Changsha,Hunan",https://en.wikipedia.org/wiki/File:BDS2013.jpg,Georgia Tech Yellow Jackets football
160,Cape Town Stadium,"55,000",Africa,South Africa,"Cape Town, Western Cape",https://en.wikipedia.org/wiki/File:Ajax_0_Chelsea_1_(23Oct19).jpg,AFC Ajax
161,Plovdiv Stadium,"55,000",Europe,Bulgaria,Plovdiv,https://en.wikipedia.org/wiki/File:Tianhe_Stadium.jpg,
162,Bobby Dodd Stadium,"55,000",North America,United States,Atlanta,https://en.wikipedia.org/wiki/File:Braciere_olimpico_XXX_Universiade_Napoli_2019.jpg,SSC Napoli
163,Johan Cruijff Arena,"54,990",Europe,Netherlands,Amsterdam,https://en.wikipedia.org/wiki/File:Tianjin_Olympic_Center_Stadium.jpg,Tianjin Teda
164,Tianhe Stadium,"54,856",East Asia,China,"Guangzhou,Guangdong",https://en.wikipedia.org/wiki/File:LTU_arena_panorama.jpg,Fortuna Düsseldorf
165,Stadio Diego Armando Maradona,"54,726",Europe,Italy,Naples,"https://en.wikipedia.org/wiki/File:Boris_Paichadze_Dinamo_Arena,_Samtredia_-_Qaraba%C4%9F.jpg","Georgia national football team,FC Dinamo Tbilisi"
166,Tianjin Olympic Sports Centre Stadium,"54,696",East Asia,China,Tianjin,https://en.wikipedia.org/wiki/File:Wuhan_Sport_Centre_01.jpg,
167,MERKUR SPIEL-ARENA,"54,600",Europe,Germany,Düsseldorf,https://en.wikipedia.org/wiki/File:BC_Place_2015_Women%27s_FIFA_World_Cup.jpg,"Vancouver Whitecaps FC,BC Lions"
168,Boris Paitchadze Dinamo Arena,"54,549",West Asia,Georgia,Tbilisi,https://en.wikipedia.org/wiki/File:YankeeStadium-9-21-22-1.jpg,"New York Yankees,New York City FC"
169,Wuhan Sports Centre Stadium,"54,357",East Asia,China,"Wuhan,Hubei",https://en.wikipedia.org/wiki/File:HrazdanArmeniaTurkey.JPG,"FC Ararat Yerevan,Ulisses FC"
170,BC Place Stadium,"54,320",North America,Canada,"Vancouver, British Columbia",https://en.wikipedia.org/wiki/File:Borussia-Park_DEU-FRA_2011.jpg,Borussia Mönchengladbach
171,Yankee Stadium,"54,251",North America,United States,New York City,https://en.wikipedia.org/wiki/File:FIFA_World_Cup_2010_Netherlands_Japan.jpg,"AmaZulu FC,Cell C Durban Sharks"
172,Hrazdan Stadium,"54,208",West Asia,Armenia,Yerevan,https://en.wikipedia.org/wiki/File:BusanAsiadStadium.jpg,Busan IPark
173,BORUSSIA-PARK,"54,057",Europe,Germany,Mönchengladbach,https://en.wikipedia.org/wiki/File:Mangueir%C3%A3o_em_2023.jpg,"Paysandu SC,Clube do Remo,Tuna Luso Brasileira,SC Belem"
174,Moses Mabhida Stadium,"54,000",Africa,South Africa,"Durban, KwaZulu-Natal",https://en.wikipedia.org/wiki/File:EstadioUnicoLaPlata_Interior_June2014.jpg,
175,Busan Asiad Main Stadium,"53,864",East Asia,South Korea,Busan,https://en.wikipedia.org/wiki/File:After_Game_Kick_and_Catch_(13750115664).jpg,"Adelaide Crows,Port Adelaide Power"
176,Estádio Estadual Jornalista Edgar Augusto Proença,"53,645",South America,Brazil,"Belém,Pará",https://en.wikipedia.org/wiki/File:Melbourne_Derby_December_2014.jpg,"Western Bulldogs,Essendon,St. Kilda,Carlton,North Melbourne"
177,Estadio Único Diego Armando Maradona,"53,600",South America,Argentina,La Plata,https://en.wikipedia.org/wiki/File:Est%C3%A1dio_Parque_do_Sabi%C3%A1.jpg,Uberlânia EC
178,Adelaide Oval,"53,500",Oceania,Australia,"Adelaide, South Australia","https://en.wikipedia.org/wiki/File:San_Mames,_Bilbao,_Euskal_Herria_-_Basque_Country.jpg",Athletic Bilbao
179,Docklands Stadium,"53,359",Oceania,Australia,"Melbourne, Victoria","https://en.wikipedia.org/wiki/File:Aleppo_International_Stadium,_day_view,_2009_(1).jpg",Al-Ittihad
180,Estádio Municipal João Havelange,"53,350",South America,Brazil,"Uberlândia, Minas Gerais",https://en.wikipedia.org/wiki/File:Estadio_Nacional_nuevo_07_10_2011.jpg,Peru national football team
181,San Mamés,"53,332",Europe,Spain,Bilbao,https://en.wikipedia.org/wiki/File:Hangzhou-yellow-dragon-stad.jpg,Hangzhou FC
182,Aleppo International Stadium,"53,200",West Asia,Syria,Aleppo,https://en.wikipedia.org/wiki/File:Galatasaray_Arena_North-West_Corner.jpg,Galatasaray
183,Estadio Nacional,"53,086",South America,Peru,Lima,https://en.wikipedia.org/wiki/File:Suncorpstadium071006a.JPG,"Brisbane Broncos,Queensland Maroons,Brisbane Roar FC,Queensland Reds"
184,Huanglong Stadium,"52,672",East Asia,China,"Hangzhou,Zhejiang",https://en.wikipedia.org/wiki/File:StJamesParkPanorama.jpg,Newcastle United
185,RAMS Park,"52,652",Europe,Turkey,Istanbul,https://en.wikipedia.org/wiki/File:Kings_Park_panorama.jpg,"Lamontville Golden Arrows,Cell C Durban Sharks"
186,Suncorp Stadium,"52,500",Oceania,Australia,"Brisbane, Queensland",https://en.wikipedia.org/wiki/File:Proudly_South_African.jpg,
187,St. James' Park,"52,405",Europe,England,"Newcastle upon Tyne, North East","https://en.wikipedia.org/wiki/File:Hampden_Park,_January_2023.jpg","Scotland national football team,Queen's Park"
188,Kings Park Stadium,"52,000",Africa,South Africa,"Durban, KwaZulu-Natal",https://en.wikipedia.org/wiki/File:Monumental_de_maturin_3.jpg,Monagas Sport Club
189,Newlands Stadium,"51,900",Africa,South Africa,"Cape Town, Western Cape",https://en.wikipedia.org/wiki/File:Loftus_Versfeld_Game_Night.JPG,SuperSport UnitedandVodacom Pretoria Bulls
190,Hampden Park,"51,866",Europe,Scotland,Glasgow,https://en.wikipedia.org/wiki/File:Aviva_Stadium_Panoramic.jpg,"Leinster Rugby,Republic of Ireland national football team,Ireland national rugby union team"
191,Estadio Monumental de Maturín,"51,796",South America,Venezuela,Maturín,https://en.wikipedia.org/wiki/File:Guiyang_Olympic_Sports_Center.jpg,
192,Loftus Versfeld Stadium,"51,762",Africa,South Africa,"Pretoria, Gauteng",https://en.wikipedia.org/wiki/File:Hohhot_City_Stadium.jpg,
193,Aviva Stadium,"51,700",Europe,Ireland,Dublin,https://en.wikipedia.org/wiki/File:Rajamangala_Stadium_Panorama.jpg,Thailand national football team
194,Guiyang Olympic Sports Centre Stadium,"51,638",East Asia,China,"Guiyang,Guizhou",https://en.wikipedia.org/wiki/File:Donbass_Arena.jpg,
195,Hohhot City Stadium,"51,632",East Asia,China,"Hohhot,Inner Mongolia",https://en.wikipedia.org/wiki/File:Panoramica_Cilindro.jpg,Racing Club de Avellaneda
196,Rajamangala National Stadium,"51,552",Southeast Asia,Thailand,Bangkok,https://en.wikipedia.org/wiki/File:%C4%B0zmir_Atat%C3%BCrk_Stadyumu.jpg,"Altay SK,Göztepe AŞ"
197,Donbass Arena,"51,504",Europe,Ukraine,Donetsk,https://en.wikipedia.org/wiki/File:Rotterdam_De_Kuip_1.jpg,Feyenoord
198,Estadio Presidente Juan Domingo Perón,"51,389",South America,Argentina,Avellaneda,https://en.wikipedia.org/wiki/File:Estadio_BBVA.jpg,CF Monterrey
199,İzmir Atatürk Stadyumu,"51,295",West Asia,Turkey,İzmir,https://en.wikipedia.org/wiki/File:Al-Ghadeer_Stadium.jpg,Foolad FC
200,Stadion Feijenoord,"51,117",Europe,Netherlands,Rotterdam,https://en.wikipedia.org/wiki/File:Beira-Rio-Stadium-Porto-Alegre-Brazil.jpg,SC Internacional
201,Estadio BBVA,"51,000",North America,Mexico,Monterrey,https://en.wikipedia.org/wiki/File:Rangers-SM_(1).jpg,Rangers FC
202,Ghadir Stadium,"51,000",West Asia,Iran,Ahvaz,https://en.wikipedia.org/wiki/File:Ecopa030304.jpg,"Júbilo Iwata,Shimizu S-Pulse,Shizuoka Blue Revs"
203,Estádio José Pinheiro Borda,"50,942",South America,Brazil,Porto Alegre.Rio Grande do Sul,https://en.wikipedia.org/wiki/File:EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg,Austria national football team
204,Ibrox Stadium,"50,817",Europe,Scotland,Glasgow,https://en.wikipedia.org/wiki/File:MNUFCTCF.jpeg,Minnesota Golden Gophers football
205,Shizuoka Stadium,"50,889",East Asia,Japan,"Fukuroi, Shizuoka",https://en.wikipedia.org/wiki/File:Rampa_norte.jpg,Puebla FC
206,Ernst-Happel-Stadion,"50,865",Europe,Austria,Vienna,https://en.wikipedia.org/wiki/File:FriendsArena_SwedenSpain.jpg,"Sweden men's national football team,AIK Fotboll"
207,Huntington Bank Stadium,"50,805",North America,United States,Minneapolis,https://en.wikipedia.org/wiki/File:Sukrusaracoglu.jpg,Fenerbahçe
208,Estadio Cuauhtémoc,"50,754",North America,Mexico,Puebla,https://en.wikipedia.org/wiki/File:2008-1115-006-USC-Stanford-PAN.jpg,
209,Strawberry Arena,"50,653",Europe,Sweden,Solna,https://en.wikipedia.org/wiki/File:Mauroy_Stadium_Eurobasket_2015.JPG,Lille OSC
210,Ülker Stadyumu,"50,509",West Asia,Turkey,Istanbul,https://en.wikipedia.org/wiki/File:Stade_Roi_Baudouin.JPG,Belgium national football team
212,Stade Pierre-Mauroy,"50,186",Europe,France,Villeneuve-d'Ascq,https://en.wikipedia.org/wiki/File:Ajinomoto_Stadium_2018-13.jpg,"FC Tokyo,Tokyo Verdy,Tokyo Sungoliath,Toshiba Brave Lupus Tokyo"
213,Stade Roi Baudouin,"50,122",Europe,Belgium,Brussels,https://en.wikipedia.org/wiki/File:Alvalade0023.jpg,Sporting CP
214,Shaanxi Province Stadium,"50,100",East Asia,China,"Xi'an,Shaanxi",https://en.wikipedia.org/wiki/File:Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg,FC Porto
215,Ajinomoto Stadium,"50,100",East Asia,Japan,"Chofu, Tokyo",https://en.wikipedia.org/wiki/File:Stade_olympique_de_Sousse.jpg,Étoile du Sahel
216,Estádio José Alvalade,"50,095",Europe,Portugal,Lisbon,https://en.wikipedia.org/wiki/File:FIFA_WM06_Stadion_Koeln.jpg,1. FC Köln
218,Casa de Apostas Arena Fonte Nova,"50,025",South America,Brazil,"Salvador, Bahia",https://en.wikipedia.org/wiki/File:Greenfield_International_Stadium_Kerala.jpg,
219,Stade Olympique de Sousse,"50,000",Africa,Tunisia,Sousse,https://en.wikipedia.org/wiki/File:Kozhikode_EMS_Stadium.jpg,"India national football team,Gokulam Kerala FC"
220,RheinEnergieSTADION,"50,000",Europe,Germany,Cologne,https://en.wikipedia.org/wiki/File:K_D_Singh_Babu_Stadium.jpg,
221,Harbin Sports City Centre Stadium,"50,000",East Asia,China,"Harbin,Heilongjiang",https://en.wikipedia.org/wiki/File:Auckland_EdenPark.jpg,"Auckland Blues,New Zealand Warriors"
224,KD Singh Babu Stadium,"50,000",South Asia,India,Lucknow,https://en.wikipedia.org/wiki/File:Frankenstadion_2.JPG,1. FC Nürnberg
225,Eden Park,"50,000",Oceania,New Zealand,Auckland,https://en.wikipedia.org/wiki/File:11_June_Stadium_BenTaher.jpg,"Libya,Al-Ahly SC,Al-Ittihad Tripoli,Al-Madina SC"
227,Henan Provincial Stadium,"50,000",East Asia,China,"Zhengzhou,Henan","https://en.wikipedia.org/wiki/File:North_Korea_v_Philippines,_8_October_2015_F.png",Pyongyang City Sports Club
228,Jiangxi Olympic Sports Center,"50,000",East Asia,China,"Nanchang,Jiangxi",https://en.wikipedia.org/wiki/File:Pars_Stadium_Photos_Image_6.jpg,Fajr Sepasi Shiraz FC
230,June 11 Stadium,"50,000",Africa,Libya,Tripoli,https://en.wikipedia.org/wiki/File:Sultan_Mizan_Zainal_Abidin_Stadium_(Night)_2021.jpg,Terengganu FA
231,Xinjiang Sports Centre Stadium,"50,000",East Asia,China,"Urumqi,Xinjiang",https://en.wikipedia.org/wiki/File:Omnilife_Stadium.png,C.D. Guadalajara
232,Kim Il-sung Stadium,"50,000",East Asia,North Korea,Pyongyang,https://en.wikipedia.org/wiki/File:Kaiserslautern_18.JPG,1. FC Kaiserslautern
233,EDION Stadium Hiroshima,"50,000",East Asia,Japan,Hiroshima,https://en.wikipedia.org/wiki/File:Argentina_A_vs_Inglaterra_A_02.JPG,CA Vélez Sársfield
234,Pars Shiraz Stadium,"50,000",West Asia,Iran,Shiraz,https://en.wikipedia.org/wiki/File:Camille_Chamoun_Sports_City_Stadium_2018_-_Beirut_derby_(Nejmeh_fans).png,"Lebanon national football team,Al Ahed FC,Al Ansar FC,Nejmeh SC"
235,Stade du 26 mars,"50,000",Africa,Mali,Bamako,https://en.wikipedia.org/wiki/File:MiyagiStadiumTrackField.jpg,Vegalta Sendai
236,Stade Abdoulaye Wade,"50,000",Africa,Senegal,Dakar,https://en.wikipedia.org/wiki/File:Munhak_Stadium_Corner.jpg,
237,Sultan Mizan Zainal Abidin Stadium,"50,000",Southeast Asia,Malaysia,Kuala Terengganu,https://en.wikipedia.org/wiki/File:PSG-Nantes_Parc_des_Princes_05.jpg,Paris Saint-Germain
238,Estadio Akron,"49,850",North America,Mexico,Guadalajara,"https://en.wikipedia.org/wiki/File:Stadium_of_Light,_Sunderland_afc.jpg",Sunderland AFC
239,Levy Mwanawasa Stadium,"49,800",Africa,Zambia,Lusaka,https://en.wikipedia.org/wiki/File:Adios_Matador.jpg,"Chile national football team,CF Universidad de Chile"
240,Fritz-Walter-Stadion,"49,780",Europe,Germany,Kaiserslautern,https://en.wikipedia.org/wiki/File:Estadio_huracan_interior_tribuna_gcba.jpg,CA Huracán
241,Estadio José Amalfitani,"49,540",South America,Argentina,Buenos Aires,https://en.wikipedia.org/wiki/File:Jinnah_Sports_Stadium_track_and_field.jpg,Pakistan national football team
242,Camille Chamoun Sports City Stadium,"49,500",West Asia,Lebanon,Beirut,https://en.wikipedia.org/wiki/File:Estadio_Libertadores_de_America_2014.JPG,Club Atlético Independiente
243,Miyagi Stadium,"49,133",East Asia,Japan,"Rifu, Miyagi",https://en.wikipedia.org/wiki/File:Free_State_Stadium1.jpg,"Bloemfontein Celtic,Toyota Cheetahs"
244,Incheon Munhak Stadium,"49,084",East Asia,South Korea,Incheon,https://en.wikipedia.org/wiki/File:Nagai_stadium20040717.jpg,"Cerezo Osaka,NTT DoCoMo Red Hurricanes Osaka"
245,Heinz-von-Heiden-Arena,"49,000",Europe,Germany,Hanover,https://en.wikipedia.org/wiki/File:Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg,Corinthians
246,Parc des Princes,"48,712",Europe,France,Paris,https://en.wikipedia.org/wiki/File:Toronto_-_ON_-_Rogers_Centre2.jpg,"Toronto FC,Toronto Argonauts"
247,Stadium of Light,"48,707",Europe,England,"Sunderland, Tyne and Wear",https://en.wikipedia.org/wiki/File:Estadio_Monumental_2009.jpg,Colo-Colo
248,Estadio Nacional,"48,665",South America,Chile,Santiago,"https://en.wikipedia.org/wiki/File:Soccer_in_Florence,_Italy,_2007.jpg",ACF Fiorentina
249,Nelson Mandela Bay Stadium,"48,459",Africa,South Africa,"Port Elizabeth, Eastern Cape",https://en.wikipedia.org/wiki/File:Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_(8).JPG,CA Lanús
250,Estadio Tomás Adolfo Ducó,"48,314",South America,Argentina,Buenos Aires,https://en.wikipedia.org/wiki/File:Estadio_Metropolitano_de_Baranquilla_2011.jpg,"Colombia national football team,Atlético Junior"
251,Jinnah Sports Stadium,"48,200",South Asia,Pakistan,Islamabad,https://en.wikipedia.org/wiki/File:Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg,Botafogo FR
252,Estadio Libertadores de América,"48,069",South America,Argentina,Avellaneda,https://en.wikipedia.org/wiki/File:Panorama_of_Arena_Pernambuco.jpg,Náutico
253,Free State Stadium,"48,000",Africa,South Africa,"Bloemfontein, Free State",https://en.wikipedia.org/wiki/File:Arena_MRV_em_obras_vista_da_Via_Expressa_(dezembro_de_2022).jpg,C Atlético Mineiro
254,Nagai Stadium,"47,816",East Asia,Japan,Osaka,https://en.wikipedia.org/wiki/File:Derby_Paulista_(Corinthians-Palmeiras)_Paulist%C3%A3o_2009.jpg,Grêmio Prudente
255,Neo Química Arena,"47,605",South America,Brazil,"São Paulo, São Paulo",https://en.wikipedia.org/wiki/File:Atanasio_Girardot_Stadium.jpg,"Atlético Nacional,Independiente Medellín"
256,Rogers Centre,"47,568",North America,Canada,"Toronto, Ontario",https://en.wikipedia.org/wiki/File:Sevilla2-1Lega20182.jpg,Sevilla FC
257,Estadio Monumental,"47,347",South America,Chile,Santiago,https://en.wikipedia.org/wiki/File:Stade-Adrar2019.png,Hassania Agadir
258,Stadio Artemio Franchi,"47,282",Europe,Italy,Florence,https://en.wikipedia.org/wiki/File:Match_veteranov_Spartaka_(13).jpg,Spartak Moscow
259,Estadio Ciudad de Lanús – Néstor Díaz Pérez,"47,027",South America,Argentina,Lanús,https://en.wikipedia.org/wiki/File:Stade_de_marrakech.jpg,Kawkab Marrakech
260,Estadio Metropolitano Roberto Meléndez,"46,788",South America,Colombia,Barranquilla,"https://en.wikipedia.org/wiki/File:Mandela_National_Stadium,_Uganda.JPG",Uganda national football team
261,Estádio Olímpico Nilton Santos,"46,831",South America,Brazil,"Rio de Janeiro, Rio de Janeiro",https://en.wikipedia.org/wiki/File:Wroc%C5%82aw_Municipal_Stadium_-_Euro_2012_(panorama).jpg,Śląsk Wrocław
262,Itaipava Arena Pernambuco,"46,154",South America,Brazil,"São Lourenço da Mata,Pernambuco",https://en.wikipedia.org/wiki/File:Poland_v._Colombia_(42095441565).jpg,Rubin Kazan
263,Arena MRV,"46,000",South America,Brazil,"Belo Horizonte,Minas Gerais",https://en.wikipedia.org/wiki/File:Estadio_garcilaso_cienciano.jpg,"CS Cienciano,Deportivo Garcilaso,Cusco FC"
267,Adrar Stadium,"45,480",Africa,Morocco,Agadir,https://en.wikipedia.org/wiki/File:Estadio_General_Pablo_Rojas.jpg,Club Cerro Porteño
268,Lukoil Arena,"45,360",Europe,Russia,Moscow,"https://en.wikipedia.org/wiki/File:Stade_Mohamed_V,_Casablanca.jpg","Wydad,Raja"
273,Estadio Inca Garcilaso de la Vega,"45,056",South America,Peru,Cusco,"https://en.wikipedia.org/wiki/File:Stadium_Tuanku_Abdul_Rahman,_Paroi.jpg","ATM FA,Negeri Sembilan"
274,Estádio da Machava,"45,000",Africa,Mozambique,Maputo,https://en.wikipedia.org/wiki/File:Complexe_sportif_de_F%C3%A8s.jpg,"Wydad de Fès,Maghreb de Fès"
276,Stadion Harapan Banga,"45,000",Southeast Asia,Indonesia,"Banda Aceh, Aceh",https://en.wikipedia.org/wiki/File:Abu_Dhabi_Zayed_Sports_City_Stadium_2.jpg,
278,Stade Mohammed V,"45,000",Africa,Morocco,Casablanca,https://en.wikipedia.org/wiki/File:0253l.jpg,"EC Comercial,Operário FC"
279,Latakia Sports City Stadium,"45,000",West Asia,Syria,Latakia,https://en.wikipedia.org/wiki/File:Munsu_20121110_204310_5.jpg,Ulsan HD FC
280,Zibo Sports Centre Stadium,"45,000",East Asia,China,"Zibo,Shandong",https://en.wikipedia.org/wiki/File:Arena_Amaz%C3%B4nia_Manaus.jpg,Nacional FC
281,Weifang Sports Centre Stadium,"45,000",East Asia,China,"Weifang,Shandong",https://en.wikipedia.org/wiki/File:Riau_Main_Stadium_(cropped).JPG,PSPS Pekanbaru
282,Yantai Sports Park Stadium,"45,000",East Asia,China,"Yantai,Shandong",https://en.wikipedia.org/wiki/File:SHANGDONGSPORTS.jpg,
283,Stadium Tuanku Abdul Rahman,"45,000",Southeast Asia,Malaysia,Seremban,https://en.wikipedia.org/wiki/File:Platea_Este_Nuevo_Gasometro_1.jpg,CA San Lorenzo de Almagro
284,Stade du Complexe sportif de Fès,"45,000",Africa,Morocco,Fes,https://en.wikipedia.org/wiki/File:Stadion_Miejski_w_Poznaniu_2013_panorama.jpg,"Lech Poznań,Warta Poznań"
285,Lagos National Stadium,"45,000",Africa,Nigeria,Lagos,https://en.wikipedia.org/wiki/File:Vasil_Levski_National_Stadium_2022.jpg,Bulgaria national football team
286,Egyptian Army Stadium,"45,000",Africa,Egypt,Suez,"https://en.wikipedia.org/wiki/File:Ullevi_stadium,_23_june_2018.png",Sweden women's national football team
287,Toyota Stadium,"45,000",East Asia,Japan,"Toyota City,Aichi",https://en.wikipedia.org/wiki/File:Cucuta704.jpg,Cúcuta Deportivo
288,Zayed Sports City Stadium,"45,000",West Asia,United Arab Emirates,Abu Dhabi,https://en.wikipedia.org/wiki/File:Villa_Stadion_panorama_2016.jpg,Aston Villa
289,Red Bull Arena,"44,345",Europe,Germany,Leipzig,https://en.wikipedia.org/wiki/File:Perak_Stadium.JPG,Perak FA
290,Estádio Governador Alberto Tavares Silva,"44,200",South America,Brazil,Teresina,https://en.wikipedia.org/wiki/File:%EC%A0%84%EC%A3%BC%EC%9B%94%EB%93%9C%EC%BB%B5%EA%B2%BD%EA%B8%B0%EC%9E%A5.jpg,Jeonbuk Hyundai Motors FC
291,Estádio Universitário Pedro Pedrossian,"44,200",South America,Brazil,"Campo Grande,Mato Grosso do Sul",https://en.wikipedia.org/wiki/File:Weserstadion_panorama.JPG,SV Werder Bremen
292,Ulsan Munsu Football Stadium,"44,102",East Asia,South Korea,Ulsan,https://en.wikipedia.org/wiki/File:Bigswan080628.JPG,Albirex Niigata
293,Arena Pantanal,"44,097",South America,Brazil,"Cuiabá, Mato Grosso",https://en.wikipedia.org/wiki/File:Metropolitanodemeridacopamerica.jpg,Estudiantes de Mérida
294,Arena da Amazônia,"44,000",South America,Brazil,"Manaus, Amazonas",https://en.wikipedia.org/wiki/File:Daejeon_World_Cup_Stadium.JPG,Daejeon Citizen
295,Suwon World Cup Stadium,"43,959",East Asia,South Korea,Suwon,https://en.wikipedia.org/wiki/File:500px_photo_(165733217).jpeg,FC Girondins de Bordeaux
296,Stadion Utama Riau,"43,923",Southeast Asia,Indonesia,"Pekanbaru,Riau",https://en.wikipedia.org/wiki/File:Olympiastadion_2_2020-08-12.jpg,Finland national football team
297,Allianz Parque,"43,713",South America,Brazil,"São Paulo, São Paulo",https://en.wikipedia.org/wiki/File:Serra_Dourada_Lotado.jpg,"Goiás Esporte Clube,Vila Nova,Atlético Goianiense"
298,Shandong Provincial Stadium,"43,700",East Asia,China,"Jinan,Shandong",https://en.wikipedia.org/wiki/File:SportingCali12.png,Deportivo Cali
299,Polsat Plus Arena Gdańsk,"43,615",Europe,Poland,Gdańsk,https://en.wikipedia.org/wiki/File:Estadio_Modelo_Lleno_2007_-_panoramio.jpg,"Club Sport Patria,Club Deportivo Everest,Panamá Sporting Club,Rocafuerte Fútbol Club"
301,Stadion Miejski w Poznaniu,"43,269",Europe,Poland,Poznań,https://en.wikipedia.org/wiki/File:Chengdu_Sports_Center.JPG,
302,Vasil Levski National Stadium,"43,230",Europe,Bulgaria,Sofia,"https://en.wikipedia.org/wiki/File:Royal_Bafokeng_Stadium,_Phokeng.jpg",
303,Estadio Universidad San Marcos,"43,000",South America,Peru,Lima,https://en.wikipedia.org/wiki/File:Estadio_Universitario_Concachampions.jpg,Tigres de la UANL
304,Ullevi,"43,000",Europe,Sweden,Gothenburg,https://en.wikipedia.org/wiki/File:Estadio_Brigadier_General_Estanislao_L%C3%B3pez_-_Col%C3%B3n_de_Santa_Fe.jpg,Club Atlético Colón
305,Jinzhou Binhai Sports Centre Stadium,"43,000",East Asia,China,Jinzhou,https://en.wikipedia.org/wiki/File:Estadio_Marcelo_Bielsa.jpg,Newell's Old Boys
306,Estadio General Santander,"42,901",South America,Colombia,Cúcuta,https://en.wikipedia.org/wiki/File:Vodafone_Park_Panorama.jpg,Beşiktaş J.K.
307,Villa Park,"42,682",Europe,England,"Birmingham,West Midlands",https://en.wikipedia.org/wiki/File:Teams_are_warming_up_(4738980575).jpg,Polokwane City FC
308,Perak Stadium,"42,500",Southeast Asia,Malaysia,Perak,https://en.wikipedia.org/wiki/File:Estadio_Gigante_de_Arroyito.jpg,Rosario Central
309,Jeonju World Cup Stadium,"42,477",East Asia,South Korea,Jeonju,https://en.wikipedia.org/wiki/File:CTE_Chamay_Aereo_Cut.jpg,"Atlético Club Mineros de Guayana,AC Minervén FC"
310,Ligga Arena,"42,372",South America,Brazil,"Curitiba,Paraná",https://en.wikipedia.org/wiki/File:Cl%C3%A1sico_Liga_de_Quito-Barcelona_de_Guayaquil.JPG,LDU
311,Weserstadion,"42,358",Europe,Germany,Bremen,https://en.wikipedia.org/wiki/File:Juventus_Stadium_in_Turin_-_Champions_League_2013-14_-_Juventus_v_Real_Madrid.jpg,Juventus FC
312,Denka Big Swan Stadium,"42,300",East Asia,Japan,"Niigata, Niigata",https://en.wikipedia.org/wiki/File:Sapporo_Dome_001.jpeg,Hokkaido Consadole Sapporo
313,Estadio Olimpico Metropolitano de Mérida,"42,200",South America,Venezuela,Mérida,"https://en.wikipedia.org/wiki/File:Stamford_Bridge,_Chelsea_vs_Nottingham_Forest,_5_January_2020.jpg",Chelsea
314,Daejeon World Cup Stadium,"42,176",East Asia,South Korea,Daejeon,https://en.wikipedia.org/wiki/File:Goyang_sta_1.JPG,
315,Matmut ATLANTIQUE,"42,115",Europe,France,Bordeaux,https://en.wikipedia.org/wiki/File:Hernando_Siles_Stadium_-_La_Paz.jpg,"La Paz FC,Club Bolívar,The Strongest"
316,Helsingin Olympiastadion,"42,062",Europe,Finland,Helsinki,https://en.wikipedia.org/wiki/File:BINGU_NATIONAL_STADIUM.jpg,"Flames,Big Bullets FC"
317,Estádio Serra Dourada,"42,000",South America,Brazil,"Goiânia,Goiás",https://en.wikipedia.org/wiki/File:Mbombela_Stadium_arena.jpg,
318,Estadio Deportivo Cali,"42,000",South America,Colombia,Cali,https://en.wikipedia.org/wiki/File:JPPachenchoRomero-16.jpg,"Deportivo JBL del Zulia,Deportivo Rayo Zuliano"
319,Estadio Modelo Alberto Spencer,"42,000",South America,Ecuador,Guayaquil,https://en.wikipedia.org/wiki/File:Nelson_Mandela_Stadium.jpg,Algeria national football team
320,Estádio do Zimpeto,"42,000",Africa,Mozambique,Maputo,https://en.wikipedia.org/wiki/File:Kashima_Soccer_Stadium_5.jpg,Kashima Antlers
321,Chengdu Sports Centre Stadium,"42,000",East Asia,China,"Chengdu,Sichuan",https://en.wikipedia.org/wiki/File:Est%C3%A1dio_Couto_Pereira.jpg,Coritiba Foot Ball Club
322,Royal Bafokeng Stadium,"42,000",Africa,South Africa,"Phokeng, North West",https://en.wikipedia.org/wiki/File:Estadicornellaelprat_1.jpg,RCD Espanyol
323,Estadio Universitario,"42,000",North America,Mexico,San Nicolás de los Garza,https://en.wikipedia.org/wiki/File:Estadio_Metropolitano_de_Lara.jpg,Unión Lara
324,Estadio Brigadier General Estanislao López,"42,000",South America,Argentina,Santa Fe,https://en.wikipedia.org/wiki/File:Estadio_Malvinas_Argentinas_2012.jpg,Godoy Cruz Antonio Tomba
